"Year","Ext","Den","Calc","Name"
1955,0.889,1.369,1.217,Rib Reef 03B
1956,1.397,1.335,1.865,Rib Reef 03B
1957,1.829,1.293,2.364,Rib Reef 03B
1958,2.032,1.324,2.689,Rib Reef 03B
1959,1.626,1.254,2.039,Rib Reef 03B
1960,0.66,1.226,0.809,Rib Reef 03B
1961,1.524,1.275,1.943,Rib Reef 03B
1962,1.321,1.324,1.748,Rib Reef 03B
1963,1.905,1.339,2.552,Rib Reef 03B
1964,1.194,1.341,1.6,Rib Reef 03B
1965,1.702,1.282,2.182,Rib Reef 03B
1966,1.499,1.293,1.938,Rib Reef 03B
1967,1.295,1.176,1.523,Rib Reef 03B
1968,1.6,1.22,1.952,Rib Reef 03B
1969,1.372,1.238,1.697,Rib Reef 03B
1970,2.007,1.299,2.606,Rib Reef 03B
1971,1.219,1.287,1.569,Rib Reef 03B
1972,1.422,1.278,1.817,Rib Reef 03B
1973,1.778,1.259,2.238,Rib Reef 03B
1974,1.499,1.18,1.768,Rib Reef 03B
1975,2.464,1.122,2.765,Rib Reef 03B
1976,1.245,1.096,1.365,Rib Reef 03B
1977,1.473,1.139,1.678,Rib Reef 03B
1978,0.838,1.169,0.98,Rib Reef 03B
1979,1.702,1.187,2.02,Rib Reef 03B
1980,1.88,1.178,2.215,Rib Reef 03B
1981,1.93,1.168,2.254,Rib Reef 03B
1982,1.651,1.213,2.003,Rib Reef 03B
1983,1.702,1.189,2.023,Rib Reef 03B
1984,1.422,1.168,1.661,Rib Reef 03B
1985,2.134,1.262,2.693,Rib Reef 03B
1986,2.235,1.296,2.896,Rib Reef 03B
1987,2.413,1.353,3.265,Rib Reef 03B
1988,2.286,1.295,2.96,Rib Reef 03B
1989,1.473,1.255,1.849,Rib Reef 03B
1990,1.422,1.227,1.746,Rib Reef 03B
1991,2.718,1.268,3.446,Rib Reef 03B
1992,1.397,1.256,1.755,Rib Reef 03B
1993,1.041,1.236,1.287,Rib Reef 03B
1994,1.702,1.224,2.083,Rib Reef 03B
1995,1.016,1.137,1.155,Rib Reef 03B
1996,1.778,1.095,1.948,Rib Reef 03B
1997,1.676,1.152,1.932,Rib Reef 03B
1998,1.854,1.276,2.366,Rib Reef 03B
1999,2.032,1.27,2.58,Rib Reef 03B
2000,0.889,1.245,1.107,Rib Reef 03B